Title,Author,Genre,SubGenre,Height,Publisher,Id,Status
Oxford book of Modern Science Writing,"Dawkins, Richard",science,science,240.0,,183.0,
"Justice, Judiciary and Democracy","Ranjan, Sudhanshu",nonfiction,legal,224.0,,184.0,
"Arthashastra, The",Kautiyla,philosophy,philosophy,214.0,,185.0,
We the People,Palkhivala,philosophy,philosophy,216.0,,186.0,
We the Nation,Palkhivala,philosophy,philosophy,216.0,,187.0,
"Courtroom Genius, The",Sorabjee,nonfiction,autobiography,217.0,,188.0,
Dongri to Dubai,"Zaidi, Hussain",nonfiction,history,216.0,,189.0,
"History of England, Foundation","Ackroyd, Peter",nonfiction,history,197.0,,190.0,
City of Djinns,"Dalrymple, William",nonfiction,history,198.0,,191.0,
India's Legal System,Nariman,nonfiction,legal,177.0,,192.0,
More Tears to Cry,"Sassoon, Jean",fiction,novel,235.0,,193.0,
"Ropemaker, The","Dickinson, Peter",fiction,novel,196.0,,194.0,
Angels & Demons,"Brown, Dan",fiction,novel,170.0,,195.0,
"Judge, The",,fiction,novel,170.0,,196.0,
"Attorney, The",,fiction,novel,170.0,,197.0,
"Prince, The",Machiavelli,fiction,classic,173.0,,198.0,
Eyeless in Gaza,"Huxley, Aldous",fiction,novel,180.0,,199.0,
Tales of Beedle the Bard,"Rowling, J K",fiction,novel,184.0,,200.0,
Girl with the Dragon Tattoo,"Larsson, Steig",fiction,novel,179.0,,201.0,
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,novel,179.0,,202.0,
Girl who played with Fire,"Larsson, Steig",fiction,novel,179.0,,203.0,
Batman Handbook,,fiction,comic,270.0,,204.0,
Murphy's Law,,philosophy,psychology,178.0,,205.0,
Structure and Randomness,"Tao, Terence",science,mathematics,252.0,,206.0,
Image Processing with MATLAB,"Eddins, Steve",tech,signal_processing,241.0,,207.0,
Animal Farm,"Orwell, George",fiction,classic,180.0,,208.0,
"Idiot, The","Dostoevsky, Fyodor",fiction,classic,197.0,,209.0,
"Christmas Carol, A","Dickens, Charles",fiction,classic,196.0,,210.0,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
